"No.","Name","Roaming Channel Member",
"1","Roaming SM0","Botkyrka 1|Botkyrka 2|Brandbergen|Dalaro|Galo|Johanneshov|Kista 1|Kista 5|Kista 6|Norrtalje|Nynashamn 2|Rimbo|Sigtuna|Stockholm City|Taby 2|Upplands Vasby 2|Varmdo|Almsta 1|Almsta 2"
"2","Roaming SM2","Boden 2|Kalix 1|Kalix 2|Kalix 3|Kalix 4|Kiruna 2|Lulea 2|Pitea 3|Seskaro|Vannas 3"
"3","Roaming SM3","Bollnas 1|Bollnas 3|Follinge|Gavle 1|Hudiksvall 1|Hudiksvall 2|Sundsvall 2|Sundsvall 3|Sundsvall 4|Soderhamn 1|Soderhamn 3|Ornskoldsvik 1|Ostersund 3"
"4","Roaming SM4","Arvika 2|Borlange 2|Falun 2|Karlskoga 1|Karlskoga 2|Kopparberg 2|Leksand 2|Vansbro 3|Orebro 2"
"5","Roaming SM5","Eskilstuna 1|Flen 1|Knivsta|Linkoping 1|Linkoping 4|Linkoping 7|Norrkoping 4|Uppsala 1|Uppsala 4|Uppsala 5|Uppsala 6"
"6","Roaming SM6","Alingsas 3|Angered 1|Bengtsfors 1|Bengtsfors 2|Boras 3|Floda 2|Goteborg 5|Hallandsas|Hono 3|Kortedala 2|Kungshamn|Stenungsund 2|Stenungsund 3|Tanumshede|Trollhattan 1|Trollhattan 2|Uddevalla|Ytterby"
"7","Roaming SM7","Algutsrum 2|Aneby 3|Bjarnum|Bruzaholm|Eksjo|Glumslov|Hallandsas|Helsingborg 2|Helsingborg 3|Hoor|Jonkoping 3|Kristianstad 2|Lund 2|Malmo|Nassjo 1|Nassjo 4|Vaxjo 2|Orkelljunga"
"8","Roaming LA","Aalgaard|Aamot|Aasbygda|Bardufoss|Bergen|Bronnoysund|Drammen|Egersund|Fauske|Follo|Geilo|Grimstad|Harstad|Haueheia|Hurdal|Hvittingen|Kolsas|Kongsberg|Kongsvinger 1|Kongsvinger 2|Mo i Rana|Moi|Mosjoen|Narvik|Oppegaard|Raufoss|Roverkollen Oslo|Sandnessjoen|Sarpsborg|Skien Vealoes|Stavanger|Stokke Kihlas|Tromso|Verdal"
"9","Roaming OH","Aland|Espoo|Helsinki|Hameenlinna|Imatra|Jyvaskyla|Jamsa Himos|Kokkola|Kotka|Kouvola|Kuusamo|Lahti|Lappeenranta|Lohja|Mikkeli|Nurmijarvi|Oulu 1|Oulu 2|Pori|Porvoo|Raasepori|Tampere|Tampere Hervanta|Tampere Tesoma|Tervola|Vantaa|Viitasaari|Virrat|Ylivieska|Aanekoski"
"10","Roaming OZ","Aarhus S|Frederikshavn|Gorlose|Herlev|Herning|Hilolerod|Naestved|Regnemark|Skjern|Yding"
